ADDRESS,LABEL_TYPE,LABEL_SUBTYPE,ADDRESS_NAME,PROJECT_NAME
BgHaU7YBxHPwJJQpMoNgNfUJUJgFMg5jwEgroz7UJud1,dapp,governance,quickchat,quickchat
6BGgGhWv4Z9Uw7fT5wXfnfYf27dtHGxCxMNqSTyovJbf,dapp,governance,dulems,dulems
Eg2SufZBj3q1JyQNoJk2AkMtiXFF1gn1wpoCHf9c8qZH,dapp,governance,monkog dao,monkog dao
2dTWyfVqLyyLqxb4iaQRUppTdmez5JSFSE91JQpEZCGZ,dapp,governance,test12341234345,test12341234345
Hcenib1A54LtG4V3TkG4MFYzcLzTqzYKFnttMxAq55c2,dapp,governance,monkedao vote,monkedao vote
7wsrKBeTpqfcribDo34qr8rdSbqXbmQq9Fog2cVirK6C,dapp,governance,soltatodao,soltatodao
5JfjrDdkJKuHNkwig5mnzASwBQWcT3UqS5sz6EdRbxdb,dapp,governance,limpdickdao,limpdickdao
Cwh2E98xcB5qL8yuGvxdaMezRUQXwdCwcCKhYKqUPqFD,dapp,governance,astra(dao),astra(dao)
3YSNLy4y2bFKre9jWh2zCmnkhHWZTqJb8hJcsXugnBZJ,dapp,governance,trunews,trunews
m8BR9yA89AJ9f2u3KeAFasJSuXDnd3xYDJJkBvQ2iw6,dapp,governance,monkedao,monkedao
CuLkUtWEvfZX9qt6RuASg4ps5KSXX4vTkoohHtrF3n9S,dapp,governance,onespace,onespace
mrbq8UpsQANuKgz6af5jeshz1q6Bn6kCVFwPxcSJa94,dapp,governance,intelligent foolz,intelligent foolz
9hNiFt37wgRcgYCS6yqMvrCTAkEDu3auswEWEMp73jq8,dapp,governance,savage sumo championdao,savage sumo championdao
GaZUmSG4cSsFuskFaJLZvZ9sBx5daNsGiZZ2TUCsFEH9,dapp,governance,burnerdao,burnerdao
EaaanTurre8u1Lu2bcoWzgabU4PiziDNGgyK3qiTQ8CT,dapp,governance,scooter dao,scooter dao
7pVNaGG5yynkau1KmE2GN1DDR85BTLM4xnTmwCoPsUm4,dapp,governance,34324,34324
759qyfKDMMuo9v36tW7fbGanL63mZFPNbhU7zjPrkuGK,dapp,governance,socean﻿"owner",socean﻿"owner"
2gAc8t9x9bgWsHGi7rd3kXTYVfwjYKE29GCCLdXSJtEu,dapp,governance,allstarsdaogangcrew,allstarsdaogangcrew
Cs2oaR98ttqgB6C5fcSqGBhjsyen7h5jqqtDVmL5Noz8,dapp,governance,doc,doc
5wKaEMZLfVDxiaAuPDZdKAZ3RNMQfopmaF3TsgcNMJQ4,dapp,governance,gib dao,gib dao
H1mEtL6LdnJnhn3WW5TdV967HVY14WqJv1LaRTzty8ej,dapp,governance,cosmos eco,cosmos eco
2wT8Yq49kHgDzXuPxZSaeLaH1qbmGXtEyPy64bL7aD3c,dapp,general_contract,lifinity swap v2,lifinity
src5qyZHqTqecJV4aY6Cb6zDZLMDzrDKKezs22MPHr4,dapp,general_contract,debridge finance,debridge finance
7KVswB9vkCgeM3SHP7aGDijvdRAHK8P5wi9JXViCrtYh,dapp,oracle,crypto.matic/usd,pyth
HE4GNAzMccEPq2tycM6LEXvHoLXKnYcikTvN2EWDxzNR,dapp,governance,bitbot dao﻿"owner",bitbot dao﻿"owner"
GBXLYo4ycRNfzuzYeudu6y2ng4afNeW14WcpM2E4JJSL,dapp,governance,uxdprotocol,uxdprotocol
2TdKEvPTKpDtJo6pwxd79atZFQNWiSUT2T47nF9j5qFy,dapp,oracle,crypto.ape/usd,pyth
CAhWURtUHVgUwXRxSQdrkuBTxPuzQ4g39uQMovX1ZLAi,dapp,governance,hyperborea dao,hyperborea dao
BuuuZCg7iGtp5aQo8cWUkftWsPhgPKY2WkmA44fgqyVh,dapp,governance,dangerdaoses,dangerdaoses
8jG9vceYkHSZQjWicuckXX9gS2HbgnQGiKA8rmndVJh6,dapp,governance,galaxy dao,galaxy dao
4ejt4uzt1PWEmG6A1WmKRsrE2YVfRqzvTSsvGdcWMbNv,dapp,governance,revdao_test,revdao_test
GFDko6sYw96a3nUmPqNLZwq7YstQ1u1SNUaVhnoCPW7o,dapp,fee_wallet,famous foxes fee wallet,famous foxes
9R2bS4W5gMAKjUwcGrN8iKX4fiCfnMxcfYaQezcDi6Qk,dapp,governance,doodlekoalas,doodlekoalas
Ede9QXJqTWjh3cFt1RXPyTZuu3PjzeniKNbj1nc6ctzw,dapp,governance,the scorched dao,the scorched dao
GrRoY9LfJf78XzgxgkSWuCg1XVqafsygbHuNrh8LLSL4,dapp,governance,bgdao,bgdao
EhbRU8z7if7fPGMKUui8dWpwLmQnaMMrLesm8oDN9Hkx,dapp,governance,vsr test 3,vsr test 3
H7reEeZa5ZSk6piFwSVaVHboz1LjwfJ9ZVuGkCV5EYJf,dapp,governance,erdnase™,erdnase™
AnLf8tVYCM816gmBjiy8n53eXKKEDydT5piYjjQDPgTB,dapp,oracle,crypto.ray/usd,pyth
CCTPiPYPc6AsJuwueEnWgSgucamXDZwBd53dQ11YiKX3,dapp,general_contract,cctp tokenmessengerminter,cctp tokenmessengerminter
CkpVh1PrRTUprEMVWFRecus1SWtfK7e1xPcfZNH5cswX,dapp,governance,privateer dao,privateer dao
8RMnV1eD55iqUFJLMguPkYBkq8DCtx81XcmAja93LvRR,dapp,oracle,crypto.ltc/usd,pyth
F8q9PyECaZvTDeULUVyc9sfKsjHSrbx68YjaQbk2STHd,dapp,governance,club shiba,club shiba
FSfxunDmjjbDV2QxpyxFCAPKmYJHSLnLuvQXDLkMzLBm,dapp,oracle,crypto.pepe/usd,pyth
HJpRTiviBgYd2zADbdGtSdyHFCsNQiiQLHbVGGfbrfwD,dapp,governance,clocktest,clocktest
4hTThGsXudpAkKoH7JsqZTuw7VKTSJSHR9wMa6jnj29G,dapp,governance,clemsondao,clemsondao
D6FViXF5Fbkuza7uaqksFJpvXWaofjjnB5xSyQaKATzq,dapp,governance,sigma, forrest, and friends,sigma, forrest, and friends
GuSoMn6shKCQWyiggyeoPWqA4ChacADgfvsdzp9hwsbH,dapp,governance,amontons lives on,amontons lives on
DLnXt86tDPxAnSAWhx7zEQjTxQdNsrodrSS1b9bEg9VX,dapp,governance,imreal,imreal
ku1A59g2E5q83A8opdU18cBEt5fMs1H5ZvhPedcNH19,dapp,governance,testimage2,testimage2
2ZF1CNK1GpYHuSpBvWAjKU4LMfEziEJmZV4eGsCUNR3L,dapp,governance,ckvu3b7lc4252220n829kwk7q2,ckvu3b7lc4252220n829kwk7q2
5MZwUnXxau1zU5s7MWjz2m4uRMoQip7p4ZyBL8dVps12,dapp,governance,fountain finance,fountain finance
J3xKkSUowia5q483zwQmijSfnVocGsWg6duFzQYHL9Nn,dapp,general_contract,mev address,mev
4EFAqmNb2hb1CbWGcPs3XgKcDpZhom4bQHDLqjN1wamM,dapp,governance,donationyare,donationyare
8CFHkcpGjEsjGLqevDp6NYsWbAga72PEpnZKiDuN4j8S,dapp,governance,perp multisig dao,perp multisig dao
5xCDAh2HY4UEVK8Y7U5m7Yqg7SoY92cipWnSpkMDC1oZ,dapp,governance,roger dao,roger dao
3vrXNhWjTeUbhGMHdVpAzW3SQ8Mkuxi37nWEW2nnQKtH,dapp,governance,p.e.s.t treasury multisig,p.e.s.t treasury multisig
GNmhsNFZYgcp9sJ6Bcbe6iYGxe9WED8isizhZyJhhXgX,dapp,governance,wenlunch,wenlunch
AmVniPcuwai8JBrkKi7jHpT3cfZmtTEEjvabDahz5m4w,dapp,governance,acebears,acebears
H5HjbTMtQwRku8AmWFdshqpiUCPjbcPm6kSXT5iEjQ5W,dapp,governance,belacdao,belacdao
Cv4nMZRAyJSvhj7r6Af5HTX5hLRvSEow4LCUtgKSmQZn,dapp,governance,walladao,walladao
AXS5zD2cWW5ebgYwJFrLchHPZsBGqqLLudHqA8F52LgB,dapp,governance,cursed mike's,cursed mike's
CUkQ7EDt6FDPGQa9XDoATHD2UUe6i74bbnU9izX5pVih,dapp,governance,testrealm,testrealm
4UisncaiJqWRjwsfPeVBkeWqgiZTQAWDC6gyC5i1icc6,dapp,governance,superhackadao,superhackadao
2hydMMWz3yJ7yW9VqmskZhMhH3P1Vqypcko5sffkguzX,dapp,governance,agbrt,agbrt
6xL7PkTHZic37D5GiZumBGA329wqJGnh3GzfA7GeNNLq,dapp,governance,prestigedao,prestigedao
33h4uEDXsCvnzE9W1ZNVETpeVo1npa3uAMpPm5SRSZi5,dapp,governance,comm dao test,comm dao test
8tC3ryKa7N5AZY1VrjZJgoaEMrTz6CiUNYf2AJBMqVxn,dapp,governance,clubhouse music and arts,clubhouse music and arts
2zhmAc6ihfuj3geJpaYiLkNwJ3apvSWwtCizHkCbx6of,dapp,governance,stonez squad,stonez squad
3Nwp4NeWCYorDLzCVkToS1yc2GG6bh6FH36oW5BFWaFn,dapp,governance,xnbananav0,xnbananav0
7XqRf1h8uoEdwq7aJn16XqhCYXPxjVG7SW26CbqbWDFN,dapp,governance,wealthdao,wealthdao
4shAarGSikfxRZy63jtjdzqyvf9RDcekaePc5dLSCHof,dapp,governance,exo-wallet,exo-wallet
DCdCsuUjg6MnULfEmBUmvg1heggnLrKSFdp5uTRSKuwR,dapp,governance,epics,epics
A4gG7n7aFaBonYgggiF9Ubi4pNLwu4MCG8dWxSdwxUm5,dapp,general_contract,mev address,mev
39aX7mDZ1VLpZcPWstBhQBoqwNkhf5f1KDACguvrryi6,dapp,governance,monkog dao,monkog dao
GikUv96GC7QD7LzmR6BmxN7MPCxDWnxXCP6MrQUMTNkY,dapp,governance,mean dao,mean dao
BivM8RAKCmACoTUkvNWS4epTjkUATq1rcypLVrDXc62G,dapp,governance,zero test realm,zero test realm
6SNnnvevoHNMuAw24ishxKKshPiZUDAMuEBdiWsxiiD6,dapp,governance,testfm,testfm
5aD8sHrv6ScNAhF5qJFknfuZGgxyf6bPSsPVgNCRh9m6,dapp,governance,thisisatest,thisisatest
CJ9Tfo7wEpf5RnuJSBBDhr668jpo5kQ15CByJXhu9w1j,dapp,governance,test111,test111
71Xu883BNuxggQUvh5yJpWR39cGrj8ANmGyHQCrrhRVR,dapp,governance,projekt paradise dao,projekt paradise dao
EfkdxtaFnLqR7upqvu5bZkvLq7jTJUz9EC9fVyYsB4kW,dapp,governance,walla dao,walla dao
CQdN8Mscq7RXmuE1rab1URwtZMMXzW65pk8jtmh8f8JP,dapp,governance,degen alleys,degen alleys
AWrCwJZebYJcyiJUWD3ofvuH5mPQRXKGbbKn6JFw3NMu,dapp,governance,test test test test,test test test test
9uAxqcxgGSn9Sft9FmshVoM8CZjmtY5K8d2TSGb75bsn,dapp,general_contract,mev address,mev
2tjLWePpFD43uRZY4G6HF6ZCPaT4kYKyN6n6QjaSXiko,dapp,governance,yet another test,yet another test
3KPRuKWxV6PtneZXbokMBwdF4T9brCFx7FcmKJ2tPqqt,dapp,general_contract,helio program 2,helio
EzpUuBcKWUHUqZmXNnuXdwUsae3Zc9VVra4kE9TpPA4S,dapp,governance,poop,poop
eWPP3eZKGpr16vtBA1XSATRqFY37GswLkaJYNk9ATgR,dapp,governance,clubhouse,clubhouse
ALdkqQDMfHNg77oCNskfX751kHys4KE7SFuZzuKaN536,dapp,oracle,crypto.link/usd,pyth
72RCRbzTGGe9YZ5xANjBsNeXXcziJFYBecq4T9Qjm2xK,dapp,governance,porcorosso,porcorosso
YWnyLPCNnUH7xaDqNNUNiZYWj6gmfrN2vpGKATuJEuL,dapp,governance,the gauntlet,the gauntlet
47xRG17BzmjtUs4Bc17qrKn7gLpWtgVDLX3f3PfPUvbw,dapp,governance,solowl dao,solowl dao
nmpjnksRJwcET3RQnvqBdh2CvGbZPPuwyyRhvneAe9G,dapp,governance,unity,unity
CgcirWRLxXXtTzCW2gaegMG7Y7yhk1GEqFffrMmEkGAj,dapp,governance,asdfasdflj,asdfasdflj
QVxzrsXRt4HifZ4qEShV6thWqKcaEC2r2SttNM2bRRU,dapp,governance,tesdao,tesdao
MEVSYBzJr42AKDA2L3MN1YqLwqaupBrrq5eFjgSRTy4,dapp,general_contract,mev address,mev
9NJJ8SgmbRQpbaPTpjDqmyVwuvJpvzJCEhzaCMb5dGLj,dapp,governance,incredible edible park,incredible edible park
DKzpsKCQX8dDTzyGe5KxjXaWpoVX2WjdJz6RiSnMaWgT,dapp,governance,mango developer council,mango developer council
AHQdAqUZdqDvo1hBjbGSQCXmahKWZL49VTVQC1ESdTkR,dapp,governance,rdao1472,rdao1472
2Lr8LGsh6n2Sf8rjFPaHUu6umz3fLshuDzrZ4Rr11yfB,dapp,governance,test69,test69
9cUS7Rqhw1oBSGwXAfjvviGXwaM5AXTecX7Lwx6Ebdh6,dapp,governance,420 club,420 club
Dz5qMCdEBKakbG4CWiK9ydUw88HxQNpxMv69qJJnZV4R,dapp,governance,ghost kid dao,ghost kid dao
